,GRP_PD_Total_Scorecard_Points,TBSG001B,WOE_TBSBR34S,GRP_NA11,WOE_max_ks_max_util_3mos,t8,GRP_ALL2320,GRP_cust_rev_max_dlq_6mos,WOE_NA11,GRP_max_ks_max_dlqdays_6mos,GRP_TBSBR34S,GRP_dda_avg_dly_dep_amt_L90,t11,WOE_TBSAT34B,WOE_dda_sum_OS_Bal,WOE_dda_av_bal,TBSG059S,GRP_CVPRRVLR01,WOE_max_ks_max_util_6mos,GRP_CVPRAGG910,GRP_dda_min_Min_Mthly_Bal,WOE_CVSC100,GRP_REV5620,WOE_PD_Total_Scorecard_Points,GRP_TBSG302S,GRP_max_ks_num_dlqdays_12mos,GRP_TBSSC100,GRP_BCC7120,t12
5680,3,2,-0.045780008,3,-0.354041427,0,1,2,0.452822554,3,3,3,0,0.263253257,-1.050757911,0.025116256,1,2,-0.65927715,4,1,0.469315498,4,-0.452086568,2,3,2,1,0
5681,4,0,0.080273964,3,-0.354041427,0,2,1,0.452822554,3,1,5,0,-1.358196556,0.777060596,0.777060596,0,2,-0.65927715,1,5,0.469315498,4,0.914926411,1,3,3,1,0
5682,1,0,-0.632657414,3,0.017097243,0,3,1,0.452822554,2,4,1,0,-0.469871632,-0.406465375,-1.000382259,0,2,0.382100409,2,3,-0.597480962,2,-2.074529237,1,2,2,2,0
5683,3,0,1.151735866,2,1.087368287,0,3,1,-0.37704675,1,2,1,0,1.413734741,-0.406465375,-1.000382259,0,3,1.106670509,1,3,0.469315498,3,-0.452086568,1,2,4,1,0
5684,4,-7,0.080273964,3,-0.354041427,0,3,1,0.452822554,3,1,3,0,0.100545443,0.60538659,0.931759695,-7,2,-0.65927715,2,4,-0.597480962,3,0.914926411,1,3,1,1,0
5685,3,0,-0.632657414,2,0.61682937,0,1,1,-0.37704675,1,4,2,0,-0.469871632,-1.050757911,-0.485121989,0,4,0.382100409,3,1,-0.597480962,2,-0.452086568,1,1,2,2,0
5686,4,-7,0.080273964,3,0.61682937,0,1,1,0.452822554,2,1,2,0,0.100545443,0.60538659,0.025116256,-7,2,1.106670509,1,4,1.859388118,4,0.914926411,1,2,1,1,0
5687,4,-4,0.080273964,2,0.017097243,0,4,1,-0.37704675,2,1,4,0,0.100545443,2.079364187,0.931759695,-4,3,0.382100409,3,4,-0.597480962,3,0.914926411,1,2,1,1,0
5688,4,0,-0.632657414,2,0.017097243,0,3,1,-0.37704675,1,4,3,0,-0.469871632,0.60538659,0.025116256,0,4,0.382100409,2,4,1.859388118,3,0.914926411,1,1,2,2,0
5689,4,0,-0.632657414,2,0.017097243,0,1,1,-0.37704675,1,4,5,0,-0.469871632,0.777060596,0.777060596,0,3,0.382100409,3,5,-0.597480962,4,0.914926411,1,1,4,1,0
5690,2,2,-0.045780008,3,-0.354041427,1,4,2,0.452822554,3,3,1,1,-0.469871632,-1.050757911,0.025116256,1,3,-0.65927715,2,1,-0.597480962,3,-1.188488621,2,3,1,1,1
5691,4,-4,0.080273964,4,-0.354041427,0,1,1,1.323402953,3,1,4,0,0.100545443,2.079364187,0.931759695,-4,2,-0.65927715,2,4,1.859388118,4,0.914926411,1,3,1,1,0
5692,4,0,-0.045780008,2,0.017097243,0,1,1,-0.37704675,1,3,3,0,-0.469871632,0.60538659,0.025116256,0,3,0.382100409,2,4,-0.597480962,3,0.914926411,1,1,4,2,0
5693,4,0,1.151735866,2,1.087368287,0,1,1,-0.37704675,1,2,5,0,1.413734741,0.777060596,0.777060596,0,3,1.106670509,1,5,-0.597480962,3,0.914926411,1,1,4,3,0
5694,4,-4,0.080273964,1,1.087368287,0,4,1,-1.281918189,1,1,2,0,0.100545443,0.60538659,0.025116256,-4,3,-0.65927715,1,4,0.469315498,2,0.914926411,1,1,1,2,0
5695,3,0,1.151735866,4,-1.287173361,0,1,1,1.323402953,1,2,1,0,1.413734741,-0.406465375,-1.000382259,0,2,-0.65927715,1,3,0.469315498,2,-0.452086568,1,1,3,1,0
5696,4,1,-0.045780008,3,-0.354041427,0,1,2,0.452822554,3,3,3,0,-0.469871632,-1.050757911,0.931759695,1,2,-0.65927715,1,1,0.469315498,4,0.914926411,2,3,3,1,0
5697,5,0,1.151735866,4,1.087368287,0,2,1,1.323402953,1,2,5,0,1.413734741,0.777060596,0.777060596,0,2,1.106670509,1,5,0.469315498,4,2.360459417,1,1,5,1,0
5698,5,0,1.151735866,3,1.087368287,0,3,1,0.452822554,1,2,1,0,1.413734741,-0.406465375,-0.485121989,0,3,1.106670509,1,2,0.469315498,3,2.360459417,1,1,4,2,0
5699,4,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,2,0,1.413734741,0.60538659,0.025116256,0,2,1.106670509,1,2,0.469315498,4,0.914926411,1,2,5,2,0
5700,4,0,1.151735866,5,1.087368287,0,5,1,-0.118791394,1,2,1,0,1.413734741,-0.406465375,-1.000382259,0,5,1.106670509,5,3,-0.118791394,5,0.914926411,1,1,5,5,0
5701,4,1,1.151735866,3,1.087368287,0,2,2,0.452822554,1,2,1,0,1.413734741,-1.050757911,0.931759695,1,2,1.106670509,1,2,0.469315498,4,0.914926411,2,1,3,1,0
5702,5,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,5,0,1.413734741,0.777060596,0.777060596,0,2,1.106670509,1,5,1.859388118,4,2.360459417,1,1,5,1,0
5703,3,-4,0.080273964,3,-0.354041427,0,1,1,0.452822554,3,1,3,0,0.100545443,-1.050757911,0.025116256,-4,2,-0.65927715,1,1,0.469315498,3,-0.452086568,1,3,1,1,0
5704,5,-4,0.080273964,3,1.087368287,0,1,1,0.452822554,1,1,2,0,0.100545443,0.60538659,0.025116256,-4,2,1.106670509,1,4,1.859388118,4,2.360459417,1,1,1,1,0
5705,3,1,-0.632657414,2,-1.287173361,0,1,1,-0.37704675,2,4,3,0,-0.469871632,2.079364187,0.931759695,1,3,-0.65927715,3,4,-0.597480962,3,-0.452086568,2,2,1,2,0
5706,5,0,1.151735866,2,1.087368287,0,2,1,-0.37704675,1,2,2,0,1.413734741,2.079364187,0.025116256,0,2,1.106670509,2,4,0.469315498,4,2.360459417,1,2,5,2,0
5707,5,0,1.151735866,3,1.087368287,0,1,1,0.452822554,1,2,2,0,1.413734741,0.60538659,0.025116256,0,2,1.106670509,1,3,1.859388118,4,2.360459417,1,1,5,1,0
5708,4,-4,0.080273964,4,-0.354041427,0,1,1,1.323402953,3,1,4,0,0.100545443,2.079364187,0.931759695,-4,2,-0.65927715,1,3,1.859388118,4,0.914926411,1,3,1,1,0
5709,4,0,1.151735866,3,-0.354041427,0,1,1,0.452822554,3,2,5,0,0.263253257,0.777060596,0.777060596,0,2,-0.65927715,3,5,0.469315498,3,0.914926411,1,3,5,1,0
5710,5,0,1.151735866,2,1.087368287,0,1,1,-0.37704675,1,2,2,0,1.413734741,2.079364187,0.931759695,0,2,1.106670509,1,4,0.469315498,3,2.360459417,1,1,5,1,0
5711,4,0,1.151735866,3,0.61682937,0,2,1,0.452822554,1,2,2,0,0.263253257,0.60538659,-1.000382259,0,2,0.382100409,1,3,0.469315498,4,0.914926411,1,1,5,1,0
5712,3,1,1.151735866,2,1.087368287,0,1,1,-0.37704675,2,2,3,0,1.413734741,2.079364187,0.025116256,1,2,1.106670509,2,4,0.469315498,4,-0.452086568,2,2,3,2,0
5713,5,0,1.151735866,3,0.61682937,0,1,1,0.452822554,1,2,4,0,-0.469871632,-1.050757911,0.931759695,0,2,0.382100409,1,1,1.859388118,4,2.360459417,1,1,5,1,0
5714,4,0,1.151735866,2,1.087368287,0,2,1,-0.37704675,1,2,3,0,1.413734741,2.079364187,0.931759695,0,2,1.106670509,4,4,0.469315498,4,0.914926411,1,1,5,1,0
5715,3,-2,0.080273964,1,-0.354041427,0,3,1,-1.281918189,3,1,4,0,0.100545443,2.079364187,0.931759695,0,4,-0.65927715,4,4,-0.597480962,3,-0.452086568,1,3,3,1,0
5716,4,0,-0.045780008,4,0.017097243,0,1,1,1.323402953,1,3,3,0,-0.469871632,-1.050757911,0.025116256,0,1,0.382100409,1,1,0.469315498,3,0.914926411,1,1,4,4,0
5717,4,0,-0.045780008,3,0.61682937,0,2,1,0.452822554,1,3,3,0,0.263253257,0.60538659,0.025116256,0,4,0.382100409,3,4,-0.597480962,2,0.914926411,1,1,5,2,0
5718,3,-4,0.080273964,1,-0.354041427,0,4,1,-1.281918189,3,1,4,0,0.100545443,2.079364187,0.931759695,-4,1,-0.65927715,1,4,-1.742633061,4,-0.452086568,1,3,1,4,0
5719,1,-4,0.080273964,2,-0.354041427,0,4,1,-0.37704675,3,1,2,0,0.100545443,-1.050757911,-0.485121989,-4,4,-0.65927715,4,2,-0.597480962,1,-2.074529237,1,3,1,3,0
